3240.0	2.0		161.0	7149158.0	8300388.0	Do You Hear What I Hear? - Remastered 2006	Christmas With Bing Crosby	Bing Crosby	10/9/20	165666.0	30.0	532.0	813.0	246.0	0.000166	195.0	-15499.0	28.0	101369.0	4.0	1.0	414.0	10.0	9.0	0.0	0.0	0	0.0	bingcrosbyofficial	21940.0
1100.0	15.0		54.0	9823977.0	105881669.0	Mad Love	Mad Love	Sean Paul	2/15/18	199944.0	59.0	793.0	6.0	824.0	0.000329	169.0	-3476.0	177.0	98019.0	4.0	1.0	611.0	2.0	2.0	0.0	1.0	1	1.0	mabelmcvey	25620.0
751.0	16.0	10.0	2.0	29990567.0	176422844.0	Lover	Lover	Taylor Swift	8/23/19	221306.0	78.0	359.0	492.0	543.0	0.00158	118.0	-7582.0	919.0	68534.0	4.0	1.0	453.0	7.0	8.0	0.0	1.0	1	1.0	taylorswift	1533557920.0
3502.0	1.0		105.0	6302597.0	6302597.0	Took His Time	Tha Carter V	Lil Wayne	9/28/18	262399.0	53.0	753.0	144.0	703.0	0.0	325.0	-3417.0	213.0	149991.0	4.0	0.0	641.0	5.0	9.0	0.0	0.0	0	0.0	liltunechi	132529080.0
4510.0	1.0		166.0	2403360.0	2403360.0	My Favorite Part	My Favorite Part	Mac Miller	9/9/16	216000.0	0.0	861.0	627.0	33.0	0.000193	14.0	-7194.0	526.0	95016.0	4.0	1.0	718.0	6.0	9.0	0.0	0.0	0	0.0	mostdopefanpage	484430.0
1297.0	10.0		24.0	12517414.0	80243945.0	Narcos	Emmanuel	Anuel AA	5/29/20	259250.0	70.0	614.0	347.0	746.0	0.00143	874.0	-3527.0	196.0	168072.0	4.0	0.0	601.0	10.0	5.0	0.0	0.0	1	1.0	migos	114540830.0
391.0	20.0	30.0	2.0	35380663.0	327868014.0	Therefore I Am	Therefore I Am	Billie Eilish	11/12/20	174321.0	88.0	889.0	218.0	34.0	13.0	55.0	-7773.0	697.0	94009.0	4.0	0.0	716.0	11.0	12.0	0.0	1.0	1	1.0	billieeilish	811585830.0
3448.0	1.0		103.0	6651425.0	6651425.0	Negro	Colores	J Balvin	3/19/20	182093.0	70.0	795.0	157.0	911.0	206.0	131.0	-2228.0	875.0	164081.0	4.0	1.0	8.0	0.0	3.0	0.0	0.0	0	0.0	jbalvin	468341290.0
1732.0	10.0		88.0	5616808.0	45664136.0	Everyday	Bobby Tarantino II	Logic	3/9/18	204746.0	72.0	667.0	425.0	741.0	0.0	761.0	-4099.0	378.0	149908.0	4.0	1.0	422.0	1.0	9.0	0.0	1.0	1	1.0	arianagrande	2309495780.0
1023.0	62.0		41.0	5054030.0	120070975.0	Often	Beauty Behind The Madness	The Weeknd	8/28/15	249040.0	0.0	571.0	229.0	612.0	0.0	127.0	-9851.0	45.0	133995.0	4.0	0.0	812.0	7.0	8.0	0.0	0.0	1	1.0	theweeknd	301627660.0
